# BUSCO version is: 5.8.0 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Complete	contig_1	412063	407870	-	1850.6	1173	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Complete	contig_1	416238	412150	-	1255.4	795	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Complete	contig_1	1646771	1650604	+	259.3	387	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Complete	contig_1	3268507	3271143	+	570.7	553	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Complete	contig_1	1687902	1689923	+	763.4	479	https://v10-1.orthodb.org/?query=95696at2	excinuclease ABC subunit B
143460at2	Complete	contig_1	1348660	1350495	+	544.9	439	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
182107at2	Complete	contig_1	1673452	1675269	+	720.5	492	https://v10-1.orthodb.org/?query=182107at2	Elongation factor 4
219876at2	Complete	contig_1	717475	718872	+	264.4	264	https://v10-1.orthodb.org/?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Complete	contig_1	247334	244698	-	498.3	456	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Complete	contig_1	1284651	1282873	-	603.1	473	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
232152at2	Complete	contig_1	3265705	3264386	-	322.6	281	https://v10-1.orthodb.org/?query=232152at2	adenylosuccinate synthase
267682at2	Complete	contig_1	1966518	1968059	+	257.6	281	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Complete	contig_1	1463032	1464303	+	423.7	322	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
384865at2	Complete	contig_1	365124	363640	-	165.2	215	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Complete	contig_1	733557	734771	+	280.5	284	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
430176at2	Complete	contig_1	532088	530694	-	572.2	362	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
462069at2	Complete	contig_1	2816463	2815276	-	173.8	221	https://v10-1.orthodb.org/?query=462069at2	Phosphoglycerate kinase
469058at2	Complete	contig_1	71226	70246	-	427.1	294	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
504464at2	Complete	contig_1	553798	552230	-	304.6	232	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
505485at2	Complete	contig_1	1592343	1590955	-	221.3	233	https://v10-1.orthodb.org/?query=505485at2	Ribosomal protein S5 domain 2-type fold
533698at2	Complete	contig_1	2414358	2415647	+	375.0	289	https://v10-1.orthodb.org/?query=533698at2	Enolase
662686at2	Complete	contig_1	1164548	1165555	+	247.8	226	https://v10-1.orthodb.org/?query=662686at2	DNA-directed RNA polymerase subunit alpha
665824at2	Complete	contig_1	1364375	1362660	-	801.8	533	https://v10-1.orthodb.org/?query=665824at2	Proline--tRNA ligase
761140at2	Complete	contig_1	3686594	3688657	+	184.6	266	https://v10-1.orthodb.org/?query=761140at2	Methionine--tRNA ligase
776861at2	Complete	contig_1	2791891	2791205	-	267.9	206	https://v10-1.orthodb.org/?query=776861at2	Cytidylate kinase
837522at2	Complete	contig_1	534610	533066	-	643.3	409	https://v10-1.orthodb.org/?query=837522at2	ATP synthase subunit alpha
841869at2	Complete	contig_1	2232819	2233853	+	112.1	183	https://v10-1.orthodb.org/?query=841869at2	UDP-N-acetylenolpyruvoylglucosamine reductase
874197at2	Complete	contig_1	1644421	1643417	-	413.9	272	https://v10-1.orthodb.org/?query=874197at2	Holliday junction ATP-dependent DNA helicase RuvB
923547at2	Complete	contig_1	1626324	1625254	-	456.6	313	https://v10-1.orthodb.org/?query=923547at2	Phosphoribosylformylglycinamidine cyclo-ligase
932854at2	Complete	contig_1	2066306	2065020	-	660.5	419	https://v10-1.orthodb.org/?query=932854at2	Phosphoribosylamine--glycine ligase
932993at2	Complete	contig_1	209342	208008	-	99.5	246	https://v10-1.orthodb.org/?query=932993at2	Trigger factor
961486at2	Complete	contig_1	1154342	1155166	+	230.4	173	https://v10-1.orthodb.org/?query=961486at2	Ribosomal protein L2
981870at2	Complete	contig_1	2676822	2675731	-	311.3	267	https://v10-1.orthodb.org/?query=981870at2	Chorismate synthase
984717at2	Complete	contig_1	1677235	1678263	+	228.9	222	https://v10-1.orthodb.org/?query=984717at2	GTPase Era
1009041at2	Complete	contig_1	883428	884603	+	249.3	219	https://v10-1.orthodb.org/?query=1009041at2	Cell division protein FtsZ
1024388at2	Complete	contig_1	2842252	2843418	+	443.5	308	https://v10-1.orthodb.org/?query=1024388at2	S-adenosylmethionine synthetase
1036075at2	Complete	contig_1	388471	386663	-	280.5	329	https://v10-1.orthodb.org/?query=1036075at2	GIY-YIG endonuclease
1043239at2	Complete	contig_1	2325306	2326034	+	136.4	155	https://v10-1.orthodb.org/?query=1043239at2	Uridylate kinase
