# BUSCO version is: 5.8.0 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Complete	0	325131	320938	-	1850.6	1173	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Complete	0	329306	325218	-	1255.4	795	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Complete	14	261319	257486	-	259.3	387	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Complete	8	224366	221730	-	570.7	553	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Complete	14	220187	218166	-	763.4	479	https://v10-1.orthodb.org/?query=95696at2	excinuclease ABC subunit B
143460at2	Missing
182107at2	Complete	14	234637	232820	-	720.5	492	https://v10-1.orthodb.org/?query=182107at2	Elongation factor 4
219876at2	Missing
223233at2	Complete	0	160396	157760	-	498.3	456	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Complete	2	6146	4368	-	603.1	473	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
232152at2	Complete	8	227169	228488	+	322.6	281	https://v10-1.orthodb.org/?query=232152at2	adenylosuccinate synthase
267682at2	Missing
353391at2	Complete	14	445070	443799	-	423.7	322	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
384865at2	Complete	0	278189	276705	-	165.2	215	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Missing
430176at2	Fragmented	0	445163	444006	-	485.8	302	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
462069at2	Complete	6	160297	159110	-	173.8	221	https://v10-1.orthodb.org/?query=462069at2	Phosphoglycerate kinase
469058at2	Missing
504464at2	Missing
505485at2	Fragmented	14	315748	316566	+	155.5	138	https://v10-1.orthodb.org/?query=505485at2	Ribosomal protein S5 domain 2-type fold
533698at2	Complete	12	176596	175307	-	375.0	289	https://v10-1.orthodb.org/?query=533698at2	Enolase
662686at2	Complete	4	40848	39841	-	247.8	226	https://v10-1.orthodb.org/?query=662686at2	DNA-directed RNA polymerase subunit alpha
665824at2	Complete	2	85875	84160	-	801.8	533	https://v10-1.orthodb.org/?query=665824at2	Proline--tRNA ligase
761140at2	Fragmented	16	66629	66063	-	69.8	87	https://v10-1.orthodb.org/?query=761140at2	Methionine--tRNA ligase
