#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
14:218166-220187|-   -            674 95696at2             -            490  1.5e-230  763.4  12.2   1   1  3.1e-231  1.9e-228  756.5  12.2     1   479    37   593    37   602 0.89 14_186 # 218166 # 220187 # -1 # ID=8_186;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.422
6:97480-100941|-     -           1154 95696at2             -            490   2.1e-11   40.6   2.2   1   4   1.1e-05    0.0067   12.5   0.0   122   166   144   194   132   215 0.79 6_99 # 97480 # 100941 # -1 # ID=4_99;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.397
6:97480-100941|-     -           1154 95696at2             -            490   2.1e-11   40.6   2.2   2   4   0.00096      0.58    6.2   0.0   340   412   660   735   631   749 0.81 6_99 # 97480 # 100941 # -1 # ID=4_99;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.397
6:97480-100941|-     -           1154 95696at2             -            490   2.1e-11   40.6   2.2   3   4      0.19   1.1e+02   -1.4   0.0   362   376   816   830   804   841 0.82 6_99 # 97480 # 100941 # -1 # ID=4_99;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.397
6:97480-100941|-     -           1154 95696at2             -            490   2.1e-11   40.6   2.2   4   4   1.6e-07   9.5e-05   18.6   0.2   347   443   829   919   824   945 0.80 6_99 # 97480 # 100941 # -1 # ID=4_99;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.397
0:232286-234514|+    -            743 95696at2             -            490   2.7e-08   30.3   0.0   1   2   0.00056      0.34    6.9   0.0     3    47   232   279   230   289 0.83 0_216 # 232286 # 234514 # 1 # ID=1_216;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.428
0:232286-234514|+    -            743 95696at2             -            490   2.7e-08   30.3   0.0   2   2   2.8e-08   1.7e-05   21.1   0.0   345   443   502   607   483   630 0.77 0_216 # 232286 # 234514 # 1 # ID=1_216;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.428
4:67412-69457|+      -            682 95696at2             -            490   7.9e-07   25.5   0.0   1   3     0.022        13    1.7   0.0     3    47   284   331   282   339 0.77 4_81 # 67412 # 69457 # 1 # ID=3_81;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.421
4:67412-69457|+      -            682 95696at2             -            490   7.9e-07   25.5   0.0   2   3      0.11        69   -0.7   0.0   352   411   327   387   318   394 0.83 4_81 # 67412 # 69457 # 1 # ID=3_81;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.421
4:67412-69457|+      -            682 95696at2             -            490   7.9e-07   25.5   0.0   3   3   4.1e-08   2.4e-05   20.6   0.0   343   442   486   586   479   593 0.88 4_81 # 67412 # 69457 # 1 # ID=3_81;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.421
4:75969-77816|-      -            616 95696at2             -            490   9.8e-05   18.6   0.1   1   1     3e-07   0.00018   17.7   0.1   337   432   255   345   248   375 0.81 4_93 # 75969 # 77816 # -1 # ID=3_93;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.467
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/abane_ashu/busco-5.8.0/busco_downloads/lineages/bacteria_odb10/hmms/95696at2.hmm
# Target file:     /home/abane_ashu/busco-5.8.0/busco_shasta/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/abane_ashu/busco-5.8.0/busco_shasta/run_bacteria_odb10/hmmer_output/95696at2.out --cpu 1 /home/abane_ashu/busco-5.8.0/busco_downloads/lineages/bacteria_odb10/hmms/95696at2.hmm /home/abane_ashu/busco-5.8.0/busco_shasta/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/abane_ashu/busco-5.8.0
# Date:            Thu Aug 14 01:02:43 2025
# [ok]
