#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_1:1687902-1689923|+ -            674 95696at2             -            490  1.7e-230  763.4  12.2   1   1  3.8e-231  2.2e-228  756.5  12.2     1   479    37   593    37   602 0.89 contig_1_1530 # 1687902 # 1689923 # 1 # ID=1_1530;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.422
contig_1:2753650-2757111|- -           1154 95696at2             -            490   2.4e-11   40.6   2.2   1   4   1.3e-05    0.0077   12.5   0.0   122   166   144   194   132   215 0.79 contig_1_2501 # 2753650 # 2757111 # -1 # ID=1_2501;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.397
contig_1:2753650-2757111|- -           1154 95696at2             -            490   2.4e-11   40.6   2.2   2   4    0.0012      0.66    6.2   0.0   340   412   660   735   631   749 0.81 contig_1_2501 # 2753650 # 2757111 # -1 # ID=1_2501;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.397
contig_1:2753650-2757111|- -           1154 95696at2             -            490   2.4e-11   40.6   2.2   3   4      0.23   1.3e+02   -1.4   0.0   362   376   816   830   804   841 0.82 contig_1_2501 # 2753650 # 2757111 # -1 # ID=1_2501;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.397
contig_1:2753650-2757111|- -           1154 95696at2             -            490   2.4e-11   40.6   2.2   4   4   1.9e-07   0.00011   18.6   0.2   347   443   829   919   824   945 0.80 contig_1_2501 # 2753650 # 2757111 # -1 # ID=1_2501;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.397
contig_1:319223-321451|+   -            743 95696at2             -            490   3.1e-08   30.3   0.0   1   2   0.00068      0.39    6.9   0.0     3    47   232   279   230   289 0.83 contig_1_293 # 319223 # 321451 # 1 # ID=1_293;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.428
contig_1:319223-321451|+   -            743 95696at2             -            490   3.1e-08   30.3   0.0   2   2   3.3e-08   1.9e-05   21.1   0.0   345   443   502   607   483   631 0.77 contig_1_293 # 319223 # 321451 # 1 # ID=1_293;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.428
contig_1:1135943-1137988|- -            682 95696at2             -            490     9e-07   25.5   0.0   1   3     0.026        15    1.7   0.0     3    47   284   331   282   339 0.77 contig_1_1026 # 1135943 # 1137988 # -1 # ID=1_1026;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.421
contig_1:1135943-1137988|- -            682 95696at2             -            490     9e-07   25.5   0.0   2   3      0.14        79   -0.7   0.0   352   411   327   387   318   394 0.83 contig_1_1026 # 1135943 # 1137988 # -1 # ID=1_1026;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.421
contig_1:1135943-1137988|- -            682 95696at2             -            490     9e-07   25.5   0.0   3   3   4.9e-08   2.8e-05   20.6   0.0   343   442   486   586   479   593 0.88 contig_1_1026 # 1135943 # 1137988 # -1 # ID=1_1026;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.421
contig_1:1959195-1960346|+ -            384 95696at2             -            490   8.4e-05   19.0   0.2   1   2      0.25   1.4e+02   -1.5   0.0    25    46    80   101    46   107 0.60 contig_1_1760 # 1959195 # 1960346 # 1 # ID=1_1760;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.391
contig_1:1959195-1960346|+ -            384 95696at2             -            490   8.4e-05   19.0   0.2   2   2   3.9e-07   0.00022   17.6   0.1   330   409   243   324   183   347 0.92 contig_1_1760 # 1959195 # 1960346 # 1 # ID=1_1760;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.391
contig_1:1127585-1129432|+ -            616 95696at2             -            490   0.00011   18.6   0.1   1   1   3.6e-07    0.0002   17.7   0.1   337   432   255   345   248   375 0.81 contig_1_1015 # 1127585 # 1129432 # 1 # ID=1_1015;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.467
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/abane_ashu/busco-5.8.0/busco_downloads/lineages/bacteria_odb10/hmms/95696at2.hmm
# Target file:     /home/abane_ashu/busco-5.8.0/busco_flye/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/abane_ashu/busco-5.8.0/busco_flye/run_bacteria_odb10/hmmer_output/95696at2.out --cpu 1 /home/abane_ashu/busco-5.8.0/busco_downloads/lineages/bacteria_odb10/hmms/95696at2.hmm /home/abane_ashu/busco-5.8.0/busco_flye/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/abane_ashu/busco-5.8.0
# Date:            Thu Aug 14 00:53:32 2025
# [ok]
