# BUSCO version is: 5.8.0 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Complete	Utg1904	1217873	1222066	+	1850.6	1173	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Duplicated	Utg1930	24339	20311	-	1272.3	801	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
9601at2	Duplicated	Utg1904	1213698	1217786	+	1255.4	795	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Duplicated	Utg1904	3756516	3752683	-	259.3	387	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
26038at2	Duplicated	Utg1988	19923	16036	-	260.2	376	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Complete	Utg1904	2134783	2132147	-	570.7	553	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Complete	Utg1904	3715385	3713364	-	763.4	479	https://v10-1.orthodb.org/?query=95696at2	excinuclease ABC subunit B
143460at2	Duplicated	Utg1994	34591	36414	+	561.6	439	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
143460at2	Duplicated	Utg1904	281274	279439	-	544.9	439	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
182107at2	Duplicated	Utg1904	3729835	3728018	-	720.5	492	https://v10-1.orthodb.org/?query=182107at2	Elongation factor 4
182107at2	Duplicated	Utg1988	30804	29005	-	735.6	491	https://v10-1.orthodb.org/?query=182107at2	Elongation factor 4
219876at2	Complete	Utg2040	90980	89577	-	331.9	277	https://v10-1.orthodb.org/?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Complete	Utg1904	1382602	1385238	+	498.3	456	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Complete	Utg1904	345283	347061	+	603.1	473	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
232152at2	Complete	Utg1904	2137585	2138904	+	322.6	281	https://v10-1.orthodb.org/?query=232152at2	adenylosuccinate synthase
267682at2	Duplicated	Utg2006	47792	46275	-	270.3	281	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
267682at2	Duplicated	Utg1904	3436770	3435229	-	257.6	281	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Complete	Utg1904	166902	165631	-	423.7	322	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
384865at2	Duplicated	Utg1904	1264812	1266296	+	165.2	215	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
384865at2	Duplicated	Utg1918	73790	72486	-	176.3	211	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Complete	Utg2032	37120	38394	+	335.1	283	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
430176at2	Complete	Utg1904	1097847	1099241	+	572.2	362	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
462069at2	Complete	Utg1904	2586822	2588009	+	173.8	221	https://v10-1.orthodb.org/?query=462069at2	Phosphoglycerate kinase
469058at2	Duplicated	Utg2010	10237	9254	-	435.5	294	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
469058at2	Duplicated	Utg1904	1558709	1559689	+	427.1	294	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
504464at2	Complete	Utg1904	1076137	1077705	+	304.6	232	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
505485at2	Complete	Utg1904	37590	38978	+	221.1	233	https://v10-1.orthodb.org/?query=505485at2	Ribosomal protein S5 domain 2-type fold
533698at2	Complete	Utg1904	2988926	2987637	-	375.0	289	https://v10-1.orthodb.org/?query=533698at2	Enolase
662686at2	Duplicated	Utg1918	180137	179148	-	262.7	226	https://v10-1.orthodb.org/?query=662686at2	DNA-directed RNA polymerase subunit alpha
662686at2	Duplicated	Utg1904	465387	464380	-	247.8	226	https://v10-1.orthodb.org/?query=662686at2	DNA-directed RNA polymerase subunit alpha
665824at2	Duplicated	Utg1914	70684	68966	-	828.3	533	https://v10-1.orthodb.org/?query=665824at2	Proline--tRNA ligase
