#                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Utg1904:345283-347061|+   -            593 226836at2            -            473  7.9e-182  603.1   0.0   1   1    1e-183  1.3e-180  599.1   0.0     1   473     3   580     3   580 0.83 Utg1904_301 # 345283 # 347061 # 1 # ID=1_301;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.423
Utg2044:45548-47065|+     -            506 226836at2            -            473     1e-33  114.7   4.0   1   2   3.2e-22     4e-19   66.6   1.3     6   227    59   305    55   354 0.73 Utg2044_54 # 45548 # 47065 # 1 # ID=27_54;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.568
Utg2044:45548-47065|+     -            506 226836at2            -            473     1e-33  114.7   4.0   2   2   1.2e-16   1.5e-13   48.3   0.1   364   450   410   500   368   504 0.78 Utg2044_54 # 45548 # 47065 # 1 # ID=27_54;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.568
Utg1904:1956664-1958193|+ -            510 226836at2            -            473   1.6e-27   94.3   0.6   1   2   1.9e-15   2.4e-12   44.3   0.2    97   222   165   302    62   316 0.67 Utg1904_1770 # 1956664 # 1958193 # 1 # ID=1_1770;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.400
Utg1904:1956664-1958193|+ -            510 226836at2            -            473   1.6e-27   94.3   0.6   2   2   1.2e-16   1.5e-13   48.2   0.0   363   452   412   505   351   508 0.75 Utg1904_1770 # 1956664 # 1958193 # 1 # ID=1_1770;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.400
Utg1912:7570-8547|-       -            326 226836at2            -            473   4.2e-18   63.2   0.2   1   2   1.2e-10   1.5e-07   28.5   0.1   121   264    26   186    14   205 0.73 Utg1912_10 # 7570 # 8547 # -1 # ID=2_10;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.593
Utg1912:7570-8547|-       -            326 226836at2            -            473   4.2e-18   63.2   0.2   2   2   4.5e-12   5.5e-09   33.2   0.0   362   449   230   321   200   325 0.78 Utg1912_10 # 7570 # 8547 # -1 # ID=2_10;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.593
Utg1904:40097-41071|-     -            325 226836at2            -            473   1.4e-11   41.7   0.1   1   2   4.2e-07   0.00052   16.8   0.1   121   205    24   113    11   175 0.69 Utg1904_36 # 40097 # 41071 # -1 # ID=1_36;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.427
Utg1904:40097-41071|-     -            325 226836at2            -            473   1.4e-11   41.7   0.1   2   2   4.4e-09   5.5e-06   23.3   0.0   363   450   231   321   198   324 0.81 Utg1904_36 # 40097 # 41071 # -1 # ID=1_36;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.427
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/abane_ashu/busco-5.8.0/busco_downloads/lineages/bacteria_odb10/hmms/226836at2.hmm
# Target file:     /home/abane_ashu/busco-5.8.0/busco_raven/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/abane_ashu/busco-5.8.0/busco_raven/run_bacteria_odb10/hmmer_output/226836at2.out --cpu 1 /home/abane_ashu/busco-5.8.0/busco_downloads/lineages/bacteria_odb10/hmms/226836at2.hmm /home/abane_ashu/busco-5.8.0/busco_raven/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/abane_ashu/busco-5.8.0
# Date:            Thu Aug 14 01:01:35 2025
# [ok]
